question,document
"I just found this course, can I still join now or is it too late?",74eb249bbf
Am I allowed to start the course after it has already begun?,74eb249bbf
"If I join late, can I still get a certificate somehow?",74eb249bbf
Do I need to submit my project before submissions close to get the certificate?,74eb249bbf
"Is it okay to enroll now, even though I'm discovering the course late?",74eb249bbf
"I signed up for the LLM Zoomcamp, but I never got a confirmation email — is that normal?",977bf7786c
Do I actually need a registration confirmation to start the course and submit homework?,977bf7786c
"If I registered for the Zoomcamp, am I officially accepted already or is there another approval step?",977bf7786c
Can I begin learning and sending homework before I get any email from the course team?,977bf7786c
"Is course registration only for counting interest, or does it affect who can access the homework form?",977bf7786c
How do I join the office hours or live workshop if I’m a student and don’t have the Zoom link?,489dd1c9d9
Where should I watch the live sessions for the course if the Zoom meeting isn’t shared with students?,489dd1c9d9
How do students submit questions during office hours or workshop streams?,489dd1c9d9
Will the video link for the live session be announced somewhere before it starts?,489dd1c9d9
Why are we told not to ask questions in the chat during the live sessions?,489dd1c9d9
What’s the best way to begin the LLM Zoomcamp and not miss anything important?,04919992b3
"Do I need to wait for a start date, or can I jump into the course whenever I want?",04919992b3
"What order should I follow each week — videos, notebooks, homework, or something else?",04919992b3
Where do I find the course materials and the homework deadlines for LLM Zoomcamp?,04919992b3
"Is the homework basically the same as the lesson exercises, just with a different dataset or task?",04919992b3
"I just made an account, but I can’t find my name on the leaderboard — how do I jump to my own row?",c2903069a0
"What does the random name I got when signing up mean, and can I change it to something else?",c2903069a0
Where can I check what my display name is for the course?,c2903069a0
"If I want my certificate to show my real name instead of the default nickname, what should I change in my profile?",c2903069a0
"Can I use a Slack or GitHub username instead of my real name, and what part of the profile is that?",c2903069a0
Can I take the course at my own pace and still get a certificate?,69d122f12e
Is there any way to get the certificate if I’m not part of the live cohort?,69d122f12e
Why isn’t a certificate given for the self-paced version of the course?,69d122f12e
Do I need to peer review other students’ capstone projects to receive the certificate?,69d122f12e
"What happens if I finish later, after the course form is closed and the review list is already made?",69d122f12e
"If I skipped the first homework, am I still eligible for the certificate as long as I pass the Capstone project?",9f689c185f
"Do the homework assignments actually count as a requirement for getting the course certificate, or are they just optional?",9f689c185f
What do I need to complete in order to receive the certificate for this course?,9f689c185f
"Are homework points required for the certificate, or do they only affect my leaderboard ranking?",9f689c185f
"Should I still do the homework even if it’s not mandatory, and what does it impact besides the certificate?",9f689c185f
Why does the homework content keep changing before the deadline?,96286b4be4
How can I tell if a homework assignment is actually ready to work on?,96286b4be4
What does it mean when the homework title has [DRAFT] in it?,96286b4be4
Can the homework still change even if I already see it in the course platform?,96286b4be4
"Is it safe to start the homework early, or could the final version be different?",96286b4be4
When is the next time this course will be offered?,bd31146b0e
Do you know when the next course run starts?,bd31146b0e
Is there a planned offering of this course in Summer 2027?,bd31146b0e
When can I expect this course to be available again?,bd31146b0e
What is the next scheduled session for the course?,bd31146b0e
Where can I find the course lectures or video lessons?,31456f4b5f
Is there a main place to start if I want to watch the LLM Zoomcamp videos?,31456f4b5f
Do the lesson pages in the GitHub repo include links to the videos?,31456f4b5f
Should I use the GitHub repository or the YouTube playlist to find the latest lectures?,31456f4b5f
How do I find the videos for each lesson in LLM Zoomcamp?,31456f4b5f
Where do I keep track of the LLM Zoomcamp syllabus and deadlines in one place?,20c5a1347e
Is there a course platform for checking homework and my progress in LLM Zoomcamp?,20c5a1347e
How can I find the current cohort structure for the LLM Zoomcamp course?,20c5a1347e
"What should I use to follow assignments, deadlines, and progress during the zoomcamp?",20c5a1347e
Does LLM Zoomcamp have the same management platform as the other DataTalks.Club Zoomcamps?,20c5a1347e
"Do we get a live class or office hour for every module, or are the lessons mostly pre-recorded?",d65e05bd7a
"If there isn't a live session for a module, where should I ask questions when I get stuck?",d65e05bd7a
How do I know when a live session is happening for this course?,d65e05bd7a
Is there any extra paid option that gives regular Zoom office hours and more support?,d65e05bd7a
Are the main course materials free even if I don't join the optional support community?,d65e05bd7a
Can I count a Bluesky post as one of my learning in public credits for the course?,dbf5369006
Does the course accept Bluesky activity for the learning in public requirement?,dbf5369006
"If I post about the course on Bluesky, can that be used for public learning credits?",dbf5369006
Are Bluesky posts eligible when I’m trying to get learning in public credits?,dbf5369006
Can I earn course credit by sharing my learning on Bluesky?,dbf5369006
What’s the Telegram channel for LLM Zoomcamp?,054f3fd58f
Where can I find the LLM Zoomcamp Telegram group link?,054f3fd58f
Is there a Telegram channel for the course announcements?,054f3fd58f
Should I use Telegram or Slack for technical questions in LLM Zoomcamp?,054f3fd58f
Where do course announcements get posted for LLM Zoomcamp?,054f3fd58f
Why is my FAQ dataset record count different from the one in the course videos?,e2d595f23c
"Did the FAQ data change after the videos were recorded, and could that explain the mismatch in rows?",e2d595f23c
I'm getting a different number of FAQ entries than shown in the lesson—why does that happen?,e2d595f23c
"Is the FAQ dataset live, and does that mean old questions get removed or new ones added over time?",e2d595f23c
